Level,Test,Race,School,Value
Proficient,Writing,Hawaiian/Pacific,HREGn,NA
Proficient,Writing,Hawaiian/Pacific,Hartford Magnet,NA
Proficient,Writing,Hawaiian/Pacific,HMn,NA
Proficient,Writing,Hawaiian/Pacific,CREC Magnet ,NA
Proficient,Writing,Hawaiian/Pacific,CRn,NA
Proficient,Writing,Hawaiian/Pacific,Open Choice,NA
Proficient,Writing,Hawaiian/Pacific,OCn,NA
Proficient,Writing,White,HPS Regular,73.9
Proficient,Writing,White,HREGn,245
Proficient,Writing,White,Hartford Magnet,90.3
Proficient,Writing,White,HMn,113
Proficient,Writing,White,CREC Magnet ,NA
Proficient,Writing,White,CRn,NA
Proficient,Writing,White,Open Choice,NA
Proficient,Writing,White,OCn,NA
Proficient,Writing,Two + races,HPS Regular,65.9
Proficient,Writing,Two + races,HREGn,138
Proficient,Writing,Two + races,Hartford Magnet,87.2
Proficient,Writing,Two + races,HMn,39
Proficient,Writing,Two + races,CREC Magnet ,NA
Proficient,Writing,Two + races,CRn,NA
Proficient,Writing,Two + races,Open Choice,NA
Proficient,Writing,Two + races,OCn,NA
Proficient,Science,Latino/Hisp ,HPS Regular,33.1
Proficient,Science,Latino/Hisp ,HREGn,1493
Proficient,Science,Latino/Hisp ,Hartford Magnet,63.2
Proficient,Science,Latino/Hisp ,HMn,340
Proficient,Science,Latino/Hisp ,CREC Magnet ,58.6
Proficient,Science,Latino/Hisp ,CRn,111
Proficient,Science,Latino/Hisp ,Open Choice,60.4
Proficient,Science,Latino/Hisp ,OCn,111
Proficient,Science,Native Amer.,HPS Regular,NA
Proficient,Science,Native Amer.,HREGn,NA
Proficient,Science,Native Amer.,Hartford Magnet,NA
Proficient,Science,Native Amer.,HMn,NA
Proficient,Science,Native Amer.,CREC Magnet ,NA
Proficient,Science,Native Amer.,CRn,NA
Proficient,Science,Native Amer.,Open Choice,NA
Proficient,Science,Native Amer.,OCn,NA
Proficient,Science,African Amer.,HPS Regular,40.7
Proficient,Science,African Amer.,HREGn,906
Proficient,Science,African Amer.,Hartford Magnet,64.2
Proficient,Science,African Amer.,HMn,299
Proficient,Science,African Amer.,CREC Magnet ,60.5
Proficient,Science,African Amer.,CRn,129
Proficient,Science,African Amer.,Open Choice,61.6
Proficient,Science,African Amer.,OCn,216
Proficient,Science,Asian,HPS Regular,17.4
Proficient,Science,Asian,HREGn,69
Proficient,Science,Asian,Hartford Magnet,NA
Proficient,Science,Asian,HMn,NA
Proficient,Science,Asian,CREC Magnet ,NA
Proficient,Science,Asian,CRn,NA
