District ID,District Name,School Year,Number Eligible for Free/ Reduced Price Lunch,Total Enrollment,Percent Eligible for Free/ Reduced Lunch
245,Learn,2006-07,360,1007,35.7
71,Lebanon School District,2006-07,125,1540,8.1
72,Ledyard School District,2006-07,190,2916,6.5
73,Lisbon School District,2006-07,94,610,15.4
74,Litchfield School District,2006-07,61,1261,4.8
76,Madison School District,2006-07,71,3837,1.9
77,Manchester School District,2006-07,2417,6966,34.7
78,Mansfield School District,2006-07,200,1333,15
79,Marlborough School District,2006-07,22,651,3.4
80,Meriden School District,2006-07,5116,8864,57.7
83,Middletown School District,2006-07,1654,5075,32.6
84,Milford School District,2006-07,1062,7504,14.2
85,Monroe School District,2006-07,142,4364,3.3
86,Montville School District,2006-07,489,2924,16.7
88,Naugatuck School District,2006-07,1484,4972,29.8
280,"New Beginnings Inc., Family Academy District",2006-07,141,302,46.7
89,New Britain School District,2006-07,6810,10865,62.7
91,New Fairfield School District,2006-07,185,3065,6
92,New Hartford School District,2006-07,21,613,3.4
93,New Haven School District,2006-07,15049,19464,77.3
95,New London School District,2006-07,1941,2947,65.9
96,New Milford School District,2006-07,435,5039,8.6
94,Newington School District,2006-07,685,4591,14.9
97,Newtown School District,2006-07,138,5609,2.5
98,Norfolk School District,2006-07,11,173,6.4
99,North Branford School District,2006-07,242,2449,9.9
100,North Canaan School District,2006-07,84,369,22.8
101,North Haven School District,2006-07,271,3962,6.8
102,North Stonington School District,2006-07,129,809,15.9
103,Norwalk School District,2006-07,2453,10743,22.8
901,Norwich Free Academy,2006-07,468,2489,18.8
104,Norwich School District,2006-07,1897,3904,48.6
263,Odyssey Community School District,2006-07,29,174,16.7
106,Old Saybrook School District,2006-07,122,1582,7.7
